,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
real_lme_00020_2698e78f,42,a1,False,False,False,False,True,False,False,False,1811.0,3622.0,3971.0,3678.0,10657.0,3819.0,10650.0,80565.0,135.0,317.0,345.0,380.0,1079.0,465.0,298.0,3149.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00021_e56a43b9,42,,True,True,True,True,True,True,True,True,2267.0,4534.0,4903.0,4590.0,2267.0,4751.0,13247.0,100873.0,156.0,394.0,685.0,590.0,156.0,518.0,277.0,2906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00022_6cb6f249,42,a3,False,True,False,False,True,False,False,False,1873.0,3746.0,4328.0,3802.0,6508.0,4176.0,12724.0,82696.0,348.0,598.0,761.0,643.0,983.0,1032.0,541.0,2914.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00023_e48988bc,42,,True,True,True,True,True,True,True,True,1527.0,3054.0,3563.0,3110.0,1527.0,3411.0,8840.0,12077.0,297.0,520.0,639.0,759.0,297.0,874.0,415.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00024_gpt4_4ef30696,42,a3,False,False,False,False,True,False,False,False,2019.0,4038.0,4436.0,4094.0,6578.0,4283.0,11594.0,89114.0,182.0,409.0,648.0,570.0,804.0,609.0,319.0,2550.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00025_gpt4_4929293b,42,a2,False,False,False,False,False,False,False,False,1916.0,3832.0,4220.0,3888.0,10878.0,4068.0,11130.0,84456.0,192.0,527.0,485.0,598.0,838.0,561.0,336.0,2572.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00026_e6041065,42,,True,True,True,True,True,True,True,True,1872.0,3744.0,4138.0,3800.0,1872.0,3986.0,10712.0,82363.0,202.0,399.0,412.0,561.0,202.0,679.0,283.0,2635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00027_21d02d0d,42,,True,True,True,True,True,True,True,True,2153.0,4306.0,4803.0,4362.0,2153.0,4651.0,12570.0,94886.0,227.0,480.0,539.0,523.0,227.0,693.0,367.0,2682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00028_1f2b8d4f,42,,True,True,True,True,True,True,True,False,2000.0,4000.0,4405.0,4056.0,2000.0,4290.0,11706.0,15790.0,212.0,455.0,523.0,740.0,212.0,557.0,423.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_lme_00029_a11281a2,42,,True,True,True,True,True,True,True,True,2000.0,4000.0,4698.0,4056.0,2000.0,4546.0,11701.0,88837.0,443.0,690.0,923.0,1025.0,443.0,1326.0,596.0,3118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00030_1de5cff2,42,,True,True,True,True,True,True,True,True,1663.0,3326.0,3767.0,3382.0,1663.0,3615.0,9651.0,53350.0,250.0,636.0,593.0,734.0,250.0,658.0,408.0,2366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00031_8ebdbe50,42,a2,False,True,True,True,True,False,False,,1730.0,3460.0,4029.0,3516.0,6027.0,3877.0,10026.0,,336.0,471.0,647.0,595.0,828.0,874.0,466.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,
real_lme_00032_22d2cb42,42,,True,True,True,True,True,True,True,True,1898.0,3796.0,4343.0,3852.0,1898.0,4191.0,11021.0,85703.0,313.0,451.0,526.0,678.0,313.0,813.0,433.0,2980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00033_gpt4_385a5000,42,a2,False,False,True,False,True,False,False,True,2070.0,4140.0,4624.0,4196.0,6895.0,4472.0,12061.0,91390.0,288.0,456.0,632.0,668.0,798.0,734.0,374.0,2989.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
real_lme_00034_95bcc1c8,42,,True,True,True,True,True,True,True,True,1880.0,3760.0,4090.0,3816.0,1880.0,3938.0,10940.0,14867.0,159.0,530.0,376.0,423.0,159.0,527.0,311.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00035_gpt4_2312f94c,42,,True,True,True,True,True,True,True,True,1954.0,3908.0,4348.0,3964.0,1954.0,4196.0,11346.0,86356.0,195.0,484.0,521.0,504.0,195.0,592.0,319.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00036_gpt4_468eb063,42,a3,False,False,False,False,False,False,False,False,1918.0,3836.0,4282.0,3892.0,11265.0,4130.0,11165.0,85858.0,251.0,346.0,706.0,626.0,767.0,737.0,357.0,2587.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00037_faba32e5,42,,True,True,True,True,True,False,True,,1958.0,3916.0,4418.0,3972.0,1958.0,4266.0,11422.0,,291.0,508.0,709.0,646.0,291.0,960.0,448.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
real_lme_00038_b86304ba,42,a4,False,False,False,False,False,False,False,False,1919.0,3838.0,4366.0,3894.0,11580.0,4214.0,13059.0,85477.0,295.0,679.0,786.0,1005.0,1475.0,973.0,518.0,3020.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00039_gpt4_d6585ce8,42,a2,False,False,True,False,True,False,False,False,1954.0,3908.0,4509.0,3964.0,6845.0,4357.0,12813.0,86028.0,386.0,686.0,737.0,1134.0,921.0,984.0,840.0,2716.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00040_gpt4_0b2f1d21,42,,True,False,True,True,True,True,True,,1908.0,3816.0,4464.0,3872.0,1908.0,4312.0,11102.0,,389.0,628.0,502.0,678.0,389.0,1108.0,546.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00041_5809eb10,42,,True,True,True,True,True,True,True,False,1912.0,3824.0,4334.0,3880.0,1912.0,4182.0,11132.0,84551.0,297.0,581.0,636.0,764.0,297.0,865.0,438.0,3025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_lme_00042_gpt4_5501fe77,42,a0,False,True,True,False,True,False,False,True,1988.0,3976.0,4497.0,4032.0,6733.0,4345.0,13455.0,89102.0,305.0,553.0,403.0,701.0,835.0,819.0,408.0,3039.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
real_lme_00043_c2ac3c61,42,,True,True,True,True,True,True,True,True,1966.0,3932.0,4158.0,3988.0,1966.0,4006.0,11429.0,86989.0,77.0,239.0,176.0,379.0,77.0,245.0,194.0,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00044_gpt4_ec93e27f,42,a2,False,True,True,False,True,True,False,True,2031.0,4062.0,4375.0,4118.0,6434.0,4223.0,11666.0,90001.0,125.0,402.0,459.0,645.0,422.0,424.0,208.0,2769.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
real_lme_00045_06db6396,42,,True,True,True,True,True,False,True,True,1942.0,3884.0,4545.0,3940.0,1942.0,4393.0,11341.0,85795.0,406.0,739.0,830.0,740.0,406.0,905.0,546.0,3019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_lme_00046_dc439ea3,42,,True,True,True,True,True,True,True,True,2054.0,4108.0,4536.0,4164.0,2054.0,4384.0,11973.0,91136.0,188.0,380.0,658.0,491.0,188.0,741.0,278.0,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00047_f685340e,42,a1,False,False,False,True,False,False,False,False,1926.0,3852.0,4276.0,3908.0,11228.0,4124.0,11273.0,84750.0,232.0,444.0,450.0,882.0,883.0,652.0,436.0,2713.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
real_lme_00048_dccbc061,42,a0,False,False,True,True,False,False,False,True,1785.0,3570.0,3802.0,3626.0,9590.0,3650.0,10363.0,35484.0,84.0,169.0,186.0,391.0,642.0,348.0,232.0,1114.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
real_lme_00049_0862e8bf_abs,42,a1,False,False,False,False,False,False,False,,2100.0,4200.0,4607.0,4256.0,11311.0,4455.0,14541.0,,213.0,442.0,432.0,799.0,785.0,592.0,434.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00050_0862e8bf,42,,True,True,True,True,True,True,True,True,1947.0,3894.0,4217.0,3950.0,1947.0,4065.0,11296.0,38565.0,152.0,494.0,455.0,394.0,152.0,386.0,251.0,1124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00051_2ebe6c90,42,a0,False,False,False,False,True,False,False,False,1860.0,3720.0,4171.0,3776.0,6201.0,4019.0,10820.0,82313.0,260.0,549.0,364.0,871.0,787.0,795.0,419.0,2581.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00052_1faac195,42,,True,True,True,True,True,True,True,True,1996.0,3992.0,4288.0,4048.0,1996.0,4136.0,11589.0,88290.0,112.0,343.0,309.0,339.0,112.0,448.0,212.0,2731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00053_21d02d0d,42,,True,False,True,True,True,True,True,True,2164.0,4328.0,4794.0,4384.0,2164.0,4642.0,12682.0,96071.0,252.0,408.0,572.0,821.0,252.0,659.0,407.0,2684.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00054_603deb26,42,a2,False,True,False,False,True,False,True,True,2113.0,4226.0,4839.0,4282.0,7272.0,4687.0,14734.0,93696.0,345.0,521.0,707.0,913.0,813.0,997.0,632.0,3230.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
real_lme_00055_7e974930,42,,True,True,True,True,True,True,True,True,2113.0,4226.0,4690.0,4282.0,2113.0,4538.0,12378.0,93505.0,222.0,604.0,447.0,876.0,222.0,636.0,364.0,2706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00056_27016adc,42,,True,False,True,False,True,True,False,True,1795.0,3590.0,4221.0,3646.0,1795.0,4069.0,12262.0,81181.0,397.0,790.0,945.0,1120.0,397.0,1267.0,609.0,3165.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
real_lme_00057_dd2973ad,42,,True,True,True,True,True,True,True,True,2121.0,4242.0,4756.0,4298.0,2121.0,4604.0,12385.0,93383.0,246.0,453.0,688.0,592.0,246.0,704.0,374.0,2553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00058_b320f3f8,42,a5,False,True,True,False,True,False,False,True,1770.0,3540.0,3913.0,3596.0,10364.0,3761.0,10271.0,13995.0,160.0,333.0,764.0,452.0,934.0,475.0,326.0,554.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
real_lme_00059_2ebe6c90,42,a3,False,False,False,False,False,False,False,,1947.0,3894.0,4619.0,3950.0,12304.0,4467.0,11352.0,,471.0,838.0,884.0,930.0,1339.0,1204.0,626.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
