,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
real_lme_00025_gpt4_4929293b,42,a3,False,False,True,False,True,False,False,False,1852,3704,4485,3757,11299,4331,10750,83053,462,678,842,957,627,894,558,3368,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00026_e6041065,42,,True,True,True,True,True,True,True,True,1810,3620,4171,3673,1810,4017,10350,82192,292,786,612,779,292,925,409,3572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00027_21d02d0d,42,a2,False,False,False,False,False,False,False,False,2094,4188,4778,4241,11917,4624,12054,93072,328,545,645,756,479,872,383,2642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00028_1f2b8d4f,42,a3,False,False,True,False,False,True,False,False,1952,3904,4469,3957,11082,4315,11202,15391,301,585,669,779,433,650,347,626,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
real_lme_00029_a11281a2,42,,True,False,True,False,True,True,True,False,1933,3866,4430,3919,1933,4276,11088,86835,304,558,577,800,304,1011,441,3413,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
real_lme_00030_1de5cff2,42,,True,True,True,True,True,True,True,True,1633,3266,3850,3319,1633,3696,9503,32534,323,645,642,827,323,930,474,1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00031_8ebdbe50,42,,True,True,True,True,True,True,True,True,1672,3344,3849,3397,1672,3695,9658,32984,245,437,539,602,245,676,319,1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00032_22d2cb42,42,,True,False,True,False,True,True,False,False,1867,3734,4223,3787,1867,4069,12666,83173,256,489,668,745,256,698,395,3169,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
real_lme_00033_gpt4_385a5000,42,a2,False,False,False,False,False,False,False,False,2028,4056,4609,4109,11504,4455,13764,40494,290,534,585,841,460,960,435,1476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00034_95bcc1c8,42,,True,True,True,True,True,True,True,True,1853,3706,4191,3759,1853,4037,10608,36902,252,473,677,669,252,631,292,1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00035_gpt4_2312f94c,42,,True,True,True,True,True,True,True,True,1880,3760,4275,3813,1880,4121,10919,37646,279,565,600,752,279,854,376,1439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00036_gpt4_468eb063,42,a3,False,False,False,False,True,False,False,False,1867,3734,4160,3787,10320,4006,10840,14786,191,383,608,689,385,567,270,570,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00037_faba32e5,42,,True,True,True,True,True,True,True,True,1878,3756,4319,3809,1878,4165,10961,37374,303,576,822,790,303,702,444,1466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00038_b86304ba,42,a3,False,False,False,False,True,False,False,False,1879,3758,4312,3811,10739,4158,12819,60544,295,602,737,747,448,845,523,2271,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00039_gpt4_d6585ce8,42,a3,False,False,False,False,False,False,False,False,1945,3890,4409,3943,11059,4255,13215,87166,284,562,718,788,447,753,410,3441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00040_gpt4_0b2f1d21,42,a3,False,True,False,False,True,True,False,False,1844,3688,4255,3741,10656,4101,10812,59718,329,690,778,911,525,886,533,2377,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
real_lme_00041_5809eb10,42,,True,True,True,True,True,False,True,False,1835,3670,4136,3723,1835,3982,10500,36583,261,533,698,675,261,751,317,1363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
real_lme_00042_gpt4_5501fe77,42,a1,False,False,False,True,True,True,False,True,1925,3850,4426,3903,11049,4272,11173,86214,313,544,520,785,485,878,407,3633,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
real_lme_00043_c2ac3c61,42,,True,True,True,True,True,True,False,True,1932,3864,4441,3917,1932,4287,13146,61977,344,692,765,906,344,907,510,2146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
real_lme_00044_gpt4_ec93e27f,42,a3,False,False,False,False,True,True,False,False,1955,3910,4544,3963,11470,4390,11220,39365,384,695,746,987,665,1096,462,1891,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
real_lme_00045_06db6396,42,a2,False,False,False,False,True,True,False,False,1892,3784,4267,3837,10639,4113,12906,85613,251,546,547,911,472,739,451,3565,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
real_lme_00046_dc439ea3,42,,True,True,True,True,True,True,True,True,1993,3986,4535,4039,1993,4381,11590,15706,290,579,696,750,290,920,375,539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00047_f685340e,42,a2,False,False,False,False,False,False,False,False,1877,3754,4549,3807,11482,4395,12881,85106,480,815,889,1100,682,1243,745,3945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00048_dccbc061,42,,True,True,True,True,True,False,True,True,1711,3422,3785,3475,1711,3631,9898,33883,160,390,461,605,160,459,239,1145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_lme_00049_0862e8bf_abs,42,a1,False,False,False,False,False,False,False,False,2078,4156,4595,4209,11393,4441,14155,16426,205,449,408,814,362,573,376,539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00050_0862e8bf,42,a1,False,False,False,False,True,False,False,False,1932,3864,4329,3917,10732,4175,11249,62019,232,446,542,854,387,699,341,2061,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00051_2ebe6c90,42,a2,False,False,False,False,False,False,False,False,1830,3660,4553,3713,11489,4399,10612,59701,520,724,832,1077,657,1145,607,2892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00052_1faac195,42,,True,True,True,True,True,True,True,True,1952,3904,4509,3957,1952,4355,11202,38701,317,526,511,731,317,969,366,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00053_21d02d0d,42,a2,False,False,False,False,True,False,False,False,2111,4222,4676,4275,6979,4522,12396,16735,268,636,602,739,370,664,460,622,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00054_603deb26,42,,True,True,True,True,True,True,True,False,2050,4100,4690,4153,2050,4536,11790,92057,331,693,611,986,331,945,558,3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_lme_00055_7e974930,42,a2,False,False,False,False,True,False,False,False,2006,4012,4620,4065,11564,4466,13877,40081,403,798,733,1163,590,925,808,1734,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00056_27016adc,42,a2,False,True,False,False,True,True,False,False,1741,3482,4052,3535,10146,3898,10183,79150,310,640,632,833,494,909,498,3518,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
real_lme_00057_dd2973ad,42,,True,True,True,True,True,False,True,True,2011,4022,4507,4075,2011,4353,11556,63931,254,568,664,723,254,726,302,1681,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_lme_00058_b320f3f8,42,,True,True,True,True,True,True,True,True,1724,3448,4001,3501,1724,3847,10002,34243,292,528,605,759,292,593,418,1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00059_2ebe6c90,42,a3,False,False,False,False,False,False,False,False,1910,3820,4771,3873,12111,4617,11092,62399,606,1087,1030,1215,761,1012,696,2960,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
