[RETRY] prime task=real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
Building 40 N=5 hop-fault twowiki_real bridge_comparison examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real_hop.py's set)...
Built 40 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1941,419)
  N=5 arm=direct real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(1885,484)
  N=5 arm=direct real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1884,280)
  N=5 arm=direct real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1697,376)
  N=5 arm=direct real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1697,376)
  N=5 arm=direct real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1695,365)
  N=5 arm=direct real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1566,570)
  N=5 arm=direct real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1566,570)
  N=5 arm=direct real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1566,338)
  N=5 arm=direct real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1993,344)
  N=5 arm=direct real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1993,344)
  N=5 arm=direct real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1992,338)
  N=5 arm=direct real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,366)
  N=5 arm=direct real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,366)
  N=5 arm=direct real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,695)
  N=5 arm=direct real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1836,321)
  N=5 arm=direct real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1836,321)
  N=5 arm=direct real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1837,525)
  N=5 arm=direct real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2164,480)
  N=5 arm=direct real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2164,480)
  N=5 arm=direct real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2164,359)
  N=5 arm=direct real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1677,323)
  N=5 arm=direct real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1677,323)
  N=5 arm=direct real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1677,311)
  N=5 arm=direct real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,269)
  N=5 arm=direct real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,269)
  N=5 arm=direct real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,269)
  N=5 arm=direct real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(2027,295)
  N=5 arm=direct real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(2027,295)
  N=5 arm=direct real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(2027,286)
  N=5 arm=direct real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1935,447)
  N=5 arm=direct real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1935,447)
  N=5 arm=direct real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1935,453)
  N=5 arm=direct real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1626,351)
  N=5 arm=direct real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1626,351)
  N=5 arm=direct real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1626,346)
  N=5 arm=direct real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,452)
  N=5 arm=direct real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,452)
  N=5 arm=direct real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,403)
  N=5 arm=direct real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1843,350)
  N=5 arm=direct real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1843,350)
  N=5 arm=direct real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1842,316)
  N=5 arm=direct real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1802,564)
  N=5 arm=direct real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1802,564)
  N=5 arm=direct real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1802,384)
  N=5 arm=direct real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1636,388)
  N=5 arm=direct real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1636,388)
  N=5 arm=direct real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1637,270)
  N=5 arm=direct real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1651,398)
  N=5 arm=direct real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1651,398)
  N=5 arm=direct real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(1651,451)
  N=5 arm=direct real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1750,516)
  N=5 arm=direct real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1750,516)
  N=5 arm=direct real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1751,451)
  N=5 arm=direct real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1913,369)
  N=5 arm=direct real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1913,369)
  N=5 arm=direct real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1913,641)
  N=5 arm=direct real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(2123,406)
  N=5 arm=direct real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(2123,406)
  N=5 arm=direct real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(2123,380)
  N=5 arm=direct real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1872,361)
  N=5 arm=direct real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1872,361)
  N=5 arm=direct real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1873,438)
  N=5 arm=direct real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(2101,344)
  N=5 arm=direct real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=1: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(2101,344)
  N=5 arm=direct real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=2: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(2101,397)
  N=5 arm=direct real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1976,550)
  N=5 arm=direct real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1976,550)
  N=5 arm=direct real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1977,1027)
  N=5 arm=direct real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1918,709)
  N=5 arm=direct real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1918,709)
  N=5 arm=direct real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1918,534)
  N=5 arm=direct real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,377)
  N=5 arm=direct real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,377)
  N=5 arm=direct real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,945)
  N=5 arm=direct real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1830,402)
  N=5 arm=direct real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1830,402)
  N=5 arm=direct real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1829,579)
  N=5 arm=direct real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(2146,244)
  N=5 arm=direct real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(2146,244)
  N=5 arm=direct real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2147,242)
