Building 60 4-fault-injected twowiki_real examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real.py's set)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=4 arm=direct real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,360)
  N=4 arm=direct real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2136,554)
  N=4 arm=direct real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2451,589)
  N=4 arm=direct real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2451,589)
  N=4 arm=direct real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2451,548)
  N=4 arm=direct real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2166,373)
  N=4 arm=direct real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2166,373)
  N=4 arm=direct real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2165,514)
  N=4 arm=direct real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2579,417)
  N=4 arm=direct real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2579,417)
  N=4 arm=direct real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2579,573)
  N=4 arm=direct real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,539)
  N=4 arm=direct real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,539)
  N=4 arm=direct real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2416,344)
  N=4 arm=direct real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2536,411)
  N=4 arm=direct real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2536,411)
  N=4 arm=direct real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2536,447)
  N=4 arm=direct real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,406)
  N=4 arm=direct real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,406)
  N=4 arm=direct real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,648)
  N=4 arm=direct real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1981,206)
  N=4 arm=direct real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1981,206)
  N=4 arm=direct real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1980,182)
  N=4 arm=direct real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2524,398)
  N=4 arm=direct real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2524,398)
  N=4 arm=direct real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2525,468)
  N=4 arm=direct real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2313,413)
  N=4 arm=direct real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2313,413)
  N=4 arm=direct real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2313,398)
  N=4 arm=direct real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2588,413)
  N=4 arm=direct real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2588,413)
  N=4 arm=direct real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2589,308)
  N=4 arm=direct real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2447,718)
  N=4 arm=direct real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2447,718)
  N=4 arm=direct real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2446,328)
  N=4 arm=direct real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2366,499)
  N=4 arm=direct real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2366,499)
  N=4 arm=direct real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2364,309)
  N=4 arm=direct real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2280,538)
  N=4 arm=direct real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2280,538)
  N=4 arm=direct real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2280,475)
  N=4 arm=direct real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2537,560)
  N=4 arm=direct real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2537,560)
  N=4 arm=direct real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2538,456)
  N=4 arm=direct real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2283,386)
  N=4 arm=direct real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2283,386)
  N=4 arm=direct real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2282,208)
  N=4 arm=direct real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2224,600)
  N=4 arm=direct real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2224,600)
  N=4 arm=direct real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2224,405)
  N=4 arm=direct real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2457,410)
  N=4 arm=direct real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2457,410)
  N=4 arm=direct real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2458,425)
  N=4 arm=direct real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,646)
  N=4 arm=direct real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,646)
  N=4 arm=direct real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,500)
  N=4 arm=direct real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2449,315)
  N=4 arm=direct real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2449,315)
  N=4 arm=direct real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2449,327)
  N=4 arm=direct real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,485)
  N=4 arm=direct real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,485)
  N=4 arm=direct real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,385)
  N=4 arm=direct real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,358)
  N=4 arm=direct real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,358)
  N=4 arm=direct real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,310)
  N=4 arm=direct real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,454)
  N=4 arm=direct real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,454)
  N=4 arm=direct real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,319)
  N=4 arm=direct real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2191,339)
  N=4 arm=direct real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2191,339)
  N=4 arm=direct real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2191,375)
  N=4 arm=direct real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2301,414)
  N=4 arm=direct real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2301,414)
  N=4 arm=direct real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2301,228)
  N=4 arm=direct real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2310,399)
  N=4 arm=direct real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2310,399)
  N=4 arm=direct real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2309,218)
  N=4 arm=direct real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2649,698)
  N=4 arm=direct real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2649,698)
  N=4 arm=direct real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2649,930)
  N=4 arm=direct real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2348,592)
  N=4 arm=direct real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2348,592)
  N=4 arm=direct real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2349,707)
  N=4 arm=direct real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2412,509)
  N=4 arm=direct real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2412,509)
  N=4 arm=direct real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=2: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2412,529)
  N=4 arm=direct real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2168,367)
  N=4 arm=direct real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2168,367)
  N=4 arm=direct real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2167,258)
  N=4 arm=direct real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,445)
  N=4 arm=direct real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,445)
  N=4 arm=direct real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,488)
  N=4 arm=direct real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2131,422)
  N=4 arm=direct real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2131,422)
  N=4 arm=direct real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2131,352)
  N=4 arm=direct real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2375,363)
  N=4 arm=direct real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2375,363)
  N=4 arm=direct real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2374,379)
  N=4 arm=direct real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2509,488)
  N=4 arm=direct real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2509,488)
  N=4 arm=direct real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2509,586)
  N=4 arm=direct real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2341,101)
  N=4 arm=direct real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2341,101)
  N=4 arm=direct real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2341,281)
  N=4 arm=direct real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,552)
  N=4 arm=direct real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,552)
  N=4 arm=direct real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,666)
  N=4 arm=direct real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2507,488)
  N=4 arm=direct real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2507,488)
[RETRY] prime task=real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=0 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
[RETRY] prime task=real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=4 arm=direct real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2508,648)
  N=4 arm=direct real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2591,627)
  N=4 arm=direct real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2591,627)
  N=4 arm=direct real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,740)
