Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,343)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2189,315)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4835,873)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4378,622)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4431,689)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12624,496)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(7520,542)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4989,805)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2189,279)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4771,767)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4378,560)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4431,743)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12624,455)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12263,482)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4925,909)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2189,590)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5138,1159)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4378,1076)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4431,1116)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12624,700)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13401,851)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5292,1036)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2304,203)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4927,672)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4608,382)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4661,573)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13314,265)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7581,344)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5081,582)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2304,176)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4901,658)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4608,381)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4661,535)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13314,221)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7521,354)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5055,576)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2304,115)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4783,489)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4608,318)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4661,484)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13314,178)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12185,285)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4937,497)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,285)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5340,876)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,600)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4993,820)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14470,396)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,285)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5494,848)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,358)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5412,1117)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,667)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4993,913)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14470,469)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,358)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5566,802)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,358)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5412,1087)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4940,625)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4993,942)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14470,469)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2470,358)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5566,918)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2427,217)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5190,619)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4854,469)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4907,716)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14052,337)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13276,467)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5344,748)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2427,217)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5190,626)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4854,487)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4907,716)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14052,312)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13276,402)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5344,748)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2427,331)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5303,845)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4854,606)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4907,827)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14052,413)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13636,513)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5457,865)
  N=4 real_hotpotqa_00636_5ae3f7575542995dadf24277 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,299)
