Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2419,75)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4920,231)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4838,219)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4891,524)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14197,243)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12601,389)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5074,198)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,226)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4672,529)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4418,652)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4471,662)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(13106,522)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,226)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4826,770)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,226)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4672,529)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4418,541)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4471,662)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(15232,530)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,226)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4826,770)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,128)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4618,407)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4418,261)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4471,429)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(12994,359)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2209,128)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4772,450)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2382,142)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4935,552)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4764,428)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4817,526)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13933,271)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2382,142)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5089,356)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2382,142)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4935,552)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4764,315)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4817,526)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13934,285)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2382,142)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5089,356)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2382,166)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4959,307)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4764,351)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4817,510)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13782,289)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13051,754)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5113,397)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,236)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5365,635)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5028,465)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5081,919)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14760,401)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,236)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5519,652)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,236)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5365,635)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5028,470)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5081,919)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14712,349)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,236)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5519,652)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,183)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5284,555)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5028,291)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5081,1000)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14712,296)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2514,183)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5438,506)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2522,145)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5199,348)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5044,355)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5097,802)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14849,361)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13422,550)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5353,283)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2522,145)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5199,348)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5044,337)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5097,802)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17287,354)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13422,550)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5353,283)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2522,234)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5328,597)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5044,443)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5097,675)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14836,421)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14133,958)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5482,555)
  N=4 real_hotpotqa_00636_5ae3f7575542995dadf24277 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2478,216)
