Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2367,208)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,418)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5430,1076)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,831)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4950,998)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14367,583)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,418)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5582,908)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,418)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5430,1076)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,892)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4950,998)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14359,589)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,418)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5582,908)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,293)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5284,928)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4894,708)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4950,935)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14359,475)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2447,293)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5436,865)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2248,644)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5302,1591)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4496,1130)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4552,1328)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(15473,856)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15407,2389)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5454,1169)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2248,644)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5302,1591)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4496,1117)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4552,1328)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13260,896)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15407,2389)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5454,1169)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2248,524)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5161,1226)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4496,783)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4552,1181)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(15465,800)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2248,524)
  N=4 real_hotpotqa_00408_5ae655845542991bbc9760c3 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5313,1045)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,315)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5311,938)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4876,642)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4932,595)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14343,449)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,315)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5463,832)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,315)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5311,938)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4876,685)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4932,595)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14296,429)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,315)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5463,832)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,387)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5404,1234)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4876,730)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4932,1048)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14301,495)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2438,387)
  N=4 real_hotpotqa_00412_5a80afcf554299485f5986b9 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5556,1030)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,485)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': False, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5620,1239)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5014,830)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5070,753)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14714,650)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,485)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5772,1068)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,485)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': False, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5620,1239)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5014,807)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5070,753)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14702,650)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,485)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5772,1068)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,252)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5324,714)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5014,659)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5070,635)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14736,462)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2507,252)
  N=4 real_hotpotqa_00488_5a7736bc554299373536021b seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5476,620)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2560,322)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5633,868)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5120,632)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5176,968)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14966,412)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2560,322)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5785,751)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2560,322)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5633,868)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5120,580)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5176,968)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15027,451)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2560,322)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5785,751)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2560,490)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5752,1155)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5120,875)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5176,823)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14877,557)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16481,2389)
  N=4 real_hotpotqa_00502_5a7dc2185542990b8f503a7b seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5904,1075)
  N=4 real_hotpotqa_00636_5ae3f7575542995dadf24277 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2492,467)
