Resuming arm=direct: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=self_refine: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=full_regen: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=react: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=selfcheckgpt: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=reflexion: 60 (task_id, seed) rows already present, will be skipped.
Resuming arm=intro_specter: 60 (task_id, seed) rows already present, will be skipped.
Building 60 recipes native-multi-fault (N=5) examples (bench_seed=42)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 recipes_nonsynth_mf5_000021 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8888,2354)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(11616,3800)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=intro_specter: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(3100,1635)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(923,724)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2715,1389)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1846,1650)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1899,2074)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(6881,1976)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(8665,2281)
  N=5 recipes_nonsynth_mf5_000022 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2834,1552)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(923,724)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2715,1389)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1846,1574)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1899,2074)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(5995,1694)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(8665,2281)
  N=5 recipes_nonsynth_mf5_000022 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2834,1552)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(923,858)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2925,2083)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(1846,1582)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=react: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1899,2005)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(11652,2251)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(10049,3272)
  N=5 recipes_nonsynth_mf5_000022 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(3079,1944)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(957,774)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2882,1877)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1914,1678)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1967,1853)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(6472,1930)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=reflexion: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(9975,2860)
  N=5 recipes_nonsynth_mf5_000023 seed=0 arm=intro_specter: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3036,1418)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(957,774)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2882,1877)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1914,1354)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1967,1853)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(7525,2183)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=reflexion: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(9975,2860)
  N=5 recipes_nonsynth_mf5_000023 seed=1 arm=intro_specter: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3036,1418)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(992,833)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(3004,1954)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(1949,1641)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=react: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2002,2017)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11288,2175)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=reflexion: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=1/5 tokens=(10636,3869)
  N=5 recipes_nonsynth_mf5_000023 seed=2 arm=intro_specter: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(3158,1827)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(926,951)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(3011,2331)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1852,1926)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1905,2516)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(14023,2793)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(10787,3579)
  N=5 recipes_nonsynth_mf5_000024 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3165,2211)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(926,951)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(3011,2331)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1852,1750)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1905,2516)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(13479,2680)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(10787,3579)
  N=5 recipes_nonsynth_mf5_000024 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3165,2211)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(926,881)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2898,1976)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1852,1834)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1905,2314)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(13142,2535)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(10273,3151)
  N=5 recipes_nonsynth_mf5_000024 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(3052,1495)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(939,718)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(2846,1796)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1878,1482)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1931,1693)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12166,2226)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(9881,2865)
  N=5 recipes_nonsynth_mf5_000025 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3000,1335)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(939,718)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(2846,1796)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1878,1372)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1931,1693)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11446,2014)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(9881,2865)
  N=5 recipes_nonsynth_mf5_000025 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3000,1335)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(939,653)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=self_refine: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2753,1673)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1878,1452)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=react: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(1931,1957)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(11552,2037)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(9354,2602)
  N=5 recipes_nonsynth_mf5_000025 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2907,1668)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(953,960)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3171,2379)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1906,1602)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1959,2330)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(6503,2282)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11658,3682)
  N=5 recipes_nonsynth_mf5_000026 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3325,2337)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(953,960)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3171,2379)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1906,2007)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1959,2330)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(7307,2505)
  N=5 recipes_nonsynth_mf5_000026 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11658,3682)
