cell,task_id,seed,task_prompt,gold_answer,direct_final,direct_success,is_final,is_success,is_repair_status,is_fault_node,label_bucket,label_subbucket,label_notes
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00085,1,,,"The laptop has been safely stored on the stovetop in the kitchen, respecting the user's allergy constraint.",True,"The laptop has been successfully stored on the stovetop in the kitchen, ensuring it is not near any peanut-containing items.",False,repair_failed,a2,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00086,1,,,"The ceramic mug has been safely stored in the cabinet, respecting the user's allergy constraint.",False,The ceramic mug has been placed in a cabinet in the kitchen.,False,repair_failed,a4,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00088,2,,,The book has been safely stored on the countertop in the kitchen.,False,The book has been successfully placed on the countertop in the kitchen.,False,repair_failed,a3,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00089,0,,,The ceramic mug has been safely stored on a shelf in the living room.,False,The ceramic mug has been safely placed on a high shelf in the kitchen.,False,repair_failed,a2,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00089,2,,,The apple has been successfully placed on an accessible shelf in the living room.,False,The apple has been placed on the counter in the pantry.,False,repair_failed,a2,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00092,2,,,"The knife has been successfully stored in a reasonable location in the living room, respecting the user's constraints.",False,The knife has been placed on a suitable counter in the living room.,False,repair_failed,a2,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00099,2,,,"The laptop has been safely stored in the living room, away from any peanut-related items.",False,"The laptop has been safely placed on a table or shelf in the living room, ensuring it's not near any peanut-containing items.",False,repair_failed,a1,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00084_5abc0ac455429959677d6a01,1,,,"Yes, Oliver Twist met the Artful Dodger in London.",False,"London, Yes",False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00085_5a721bbc55429971e9dc9279,1,,,لا يوجد ألبوم جرامي متوافقة مع السؤال حيث أن جون براونم لا يظهر كعضو في أي فرقة ذكورية.,False,No,False,repair_failed,a2,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00086_5a73471a5542991f9a20c6d7,0,,,Duane 'Dewy' Clarridge,False,"Duane 'Dewy' Clarridge did work for Eclipse Group, although the exact role is unknown.",False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00087_5a90c8165542995651fb51ee,0,,,إنه قام بدور في انتفاضة أيرلندا العيدية عام 1916 وأعدم في سجن كيلمانهام,False,Sean Heuston شارك في انتفاضة أيرلندية في عام 1916 وأعدم في سجن كيلماههام.,False,repair_failed,a4,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00087_5abc0aba55429959677d6a00,2,,,"No, Ed Sullivan no trabajó en el New York Daily News después de crear 'The Toast of the Town'.",False,"Sí, Ed Sullivan trabajó en el 'New York Daily News' después de crear el programa 'The Toast of the Town'.",False,repair_failed,a4,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00088_5ac458f8554299204fd21f2a,0,,,"La madre de Yeshashework Yilma, Woizero Aselefech Wolde Hanna, era prima de la emperatriz Taitu Bitul, consorte del emperador Menelik II de Etiopía, quien gobernó desde 1930 hasta 1974.",False,"Sí, la madre de Yeshashework Yilma fue la prima del emperador etíope Haile Selassie, quien gobernó de 1930 a 1974.",False,repair_failed,a0,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00088_5add4d8f5542997545bbbd25,2,,,The stadium's snowplow operator played a key role by clearing a spot on the snowy field specifically for New England kicker John Smith.,False,The stadium's snowplow operator played a key role in clearing a spot on the snowy field specifically for New England kicker John Smith.,False,repair_failed,a4,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00089_5a77c58b55429967ab105281,2,,,फ्रांकलिन एड्रेन (Franklin Adreon) अभी भी जीवित हैं।,False,Ryan Gosling,False,repair_failed,a1,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00090_5a79bed05542994bb9457053,1,,,مакوتو كوشيناكا أصغر سناً من دان بيير,False,Daniel Bejar is younger.,False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00090_5ae1c2d8554299234fd042ee,2,,,"Oui, Patricia Hy-Boulais est devenue citoyenne américaine en 1994.",False,Patricia Hy-Boulais devint citoyenne américaine en 1994.,False,repair_failed,a1,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00090_5ae531ee5542990ba0bbb1ff,0,,,Ken Stott,False,Peter Mullan,False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00091_5ac3e5de554299204fd21ebc,2,,,The context does not provide information about how many records the boy band who released 'Said and Done' sold worldwide as of 2013.,False,unknown,False,repair_failed,a1,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00092_5a7329a15542991f9a20c65f,2,,,El Registro de Historia Oficial de Texas.,False,La historia registrada comenzó en 1519 y está relacionada con Texas.,False,repair_failed,a2,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00092_5ae5e852554299546bf82fb8,0,,,"Yes, Goldilocks and the Three Bares was a film that was totally separate from the fairy tale from the 19th century.",False,The fairy tale 'Goldilocks and the Three Bears' was first published in the 19th century.,False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00095_5ab989f755429970cfb8eb38,0,,,是的，TSR 2002 的创作者是第一个出版角色扮演游戏的人。,False,是的，TSR 2002 的第一个发布的产品是角色扮演游戏。,False,repair_failed,a4,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00096_5abc219655429959677d6a1d,2,,,"Non, le comic book Star Crossed n'a pas été écrit par l'auteur du comic book Crossed.",False,"Le comic book 'Star Crossed' n'a pas été écrit par Nunzio DeFilippis, mais par Matt Howarth. Will Jacobs a écrit d'autres comic books.",False,repair_failed,a3,,,
Real-HotpotQA × Qwen 7B,real_hotpotqa_00099_5ab94fa25542996be2020474,0,,,No,False,不知‘Speed of Sound’这首歌所属专辑‘X&Y’的封面艺术具体是什么设计，但可以确定的是，专辑中包含了一首基于钢琴旋律的作品。,False,repair_failed,a2,,,
