Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=llama-3.3-70b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2655,270)
  model=llama-3.3-70b N=4 arm=direct real_lme_00322_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2955,182)
  model=llama-3.3-70b N=4 arm=direct real_lme_00322_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2955,224)
  model=llama-3.3-70b N=4 arm=direct real_lme_00322_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2955,182)
  model=llama-3.3-70b N=4 arm=direct real_lme_00423_0e5e2d1a seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2243,282)
  model=llama-3.3-70b N=4 arm=direct real_lme_00423_0e5e2d1a seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2243,281)
  model=llama-3.3-70b N=4 arm=direct real_lme_00423_0e5e2d1a seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2243,281)
  model=llama-3.3-70b N=4 arm=direct real_lme_00446_0ddfec37_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2631,244)
  model=llama-3.3-70b N=4 arm=direct real_lme_00446_0ddfec37_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2631,245)
  model=llama-3.3-70b N=4 arm=direct real_lme_00446_0ddfec37_abs seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2631,242)
  model=llama-3.3-70b N=4 arm=direct real_lme_00448_c7dc5443 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2670,234)
  model=llama-3.3-70b N=4 arm=direct real_lme_00448_c7dc5443 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2670,244)
  model=llama-3.3-70b N=4 arm=direct real_lme_00448_c7dc5443 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2670,240)
  model=llama-3.3-70b N=4 arm=direct real_lme_00491_gpt4_59149c78 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2637,233)
  model=llama-3.3-70b N=4 arm=direct real_lme_00491_gpt4_59149c78 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2637,466)
  model=llama-3.3-70b N=4 arm=direct real_lme_00491_gpt4_59149c78 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2637,354)
  model=llama-3.3-70b N=4 arm=direct real_lme_00576_gpt4_85da3956 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2540,475)
  model=llama-3.3-70b N=4 arm=direct real_lme_00576_gpt4_85da3956 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2540,519)
  model=llama-3.3-70b N=4 arm=direct real_lme_00576_gpt4_85da3956 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2540,459)
  model=llama-3.3-70b N=4 arm=direct real_lme_00617_92a0aa75 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2485,481)
  model=llama-3.3-70b N=4 arm=direct real_lme_00617_92a0aa75 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2485,464)
  model=llama-3.3-70b N=4 arm=direct real_lme_00617_92a0aa75 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2485,364)
  model=llama-3.3-70b N=4 arm=direct real_lme_00634_ad7109d1 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2548,192)
  model=llama-3.3-70b N=4 arm=direct real_lme_00634_ad7109d1 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2548,244)
  model=llama-3.3-70b N=4 arm=direct real_lme_00634_ad7109d1 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2548,282)
  model=llama-3.3-70b N=4 arm=direct real_lme_00780_eeda8a6d seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2647,502)
  model=llama-3.3-70b N=4 arm=direct real_lme_00780_eeda8a6d seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2647,363)
  model=llama-3.3-70b N=4 arm=direct real_lme_00780_eeda8a6d seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2647,330)
  model=llama-3.3-70b N=4 arm=direct real_lme_00888_gpt4_2d58bcd6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2603,293)
  model=llama-3.3-70b N=4 arm=direct real_lme_00888_gpt4_2d58bcd6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2603,295)
  model=llama-3.3-70b N=4 arm=direct real_lme_00888_gpt4_2d58bcd6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2603,201)
  model=llama-3.3-70b N=4 arm=direct real_lme_01107_08e075c7 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2599,466)
  model=llama-3.3-70b N=4 arm=direct real_lme_01107_08e075c7 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2599,474)
  model=llama-3.3-70b N=4 arm=direct real_lme_01107_08e075c7 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2599,472)
  model=llama-3.3-70b N=4 arm=direct real_lme_01294_4fd1909e seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2598,110)
  model=llama-3.3-70b N=4 arm=direct real_lme_01294_4fd1909e seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2598,113)
  model=llama-3.3-70b N=4 arm=direct real_lme_01294_4fd1909e seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2598,263)
  model=llama-3.3-70b N=4 arm=direct real_lme_01456_f685340e seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2721,287)
  model=llama-3.3-70b N=4 arm=direct real_lme_01456_f685340e seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2721,328)
  model=llama-3.3-70b N=4 arm=direct real_lme_01456_f685340e seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2721,328)
  model=llama-3.3-70b N=4 arm=direct real_lme_01592_078150f1 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2578,267)
  model=llama-3.3-70b N=4 arm=direct real_lme_01592_078150f1 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2578,247)
  model=llama-3.3-70b N=4 arm=direct real_lme_01592_078150f1 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2578,247)
  model=llama-3.3-70b N=4 arm=direct real_lme_01602_a2f3aa27 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2505,205)
  model=llama-3.3-70b N=4 arm=direct real_lme_01602_a2f3aa27 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2505,253)
  model=llama-3.3-70b N=4 arm=direct real_lme_01602_a2f3aa27 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2505,255)
  model=llama-3.3-70b N=4 arm=direct real_lme_01669_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2563,291)
  model=llama-3.3-70b N=4 arm=direct real_lme_01669_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2563,279)
  model=llama-3.3-70b N=4 arm=direct real_lme_01669_gpt4_468eb063 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2563,285)
  model=llama-3.3-70b N=4 arm=direct real_lme_01720_gpt4_4929293b seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2595,196)
  model=llama-3.3-70b N=4 arm=direct real_lme_01720_gpt4_4929293b seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2595,636)
  model=llama-3.3-70b N=4 arm=direct real_lme_01720_gpt4_4929293b seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2595,271)
  model=llama-3.3-70b N=4 arm=direct real_lme_01958_gpt4_fa19884d seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2625,228)
  model=llama-3.3-70b N=4 arm=direct real_lme_01958_gpt4_fa19884d seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2625,328)
  model=llama-3.3-70b N=4 arm=direct real_lme_01958_gpt4_fa19884d seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2625,216)
  model=llama-3.3-70b N=4 arm=direct real_lme_02098_d6062bb9 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2596,267)
  model=llama-3.3-70b N=4 arm=direct real_lme_02098_d6062bb9 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2596,276)
  model=llama-3.3-70b N=4 arm=direct real_lme_02098_d6062bb9 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2596,276)
  model=llama-3.3-70b N=4 arm=direct real_lme_02112_945e3d21 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2660,250)
  model=llama-3.3-70b N=4 arm=direct real_lme_02112_945e3d21 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2660,257)
  model=llama-3.3-70b N=4 arm=direct real_lme_02112_945e3d21 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2660,248)
  model=llama-3.3-70b N=4 arm=direct real_lme_02119_gpt4_9a159967 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2512,258)
  model=llama-3.3-70b N=4 arm=direct real_lme_02119_gpt4_9a159967 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2512,323)
  model=llama-3.3-70b N=4 arm=direct real_lme_02119_gpt4_9a159967 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2512,322)
  model=llama-3.3-70b N=4 arm=direct real_lme_02276_4388e9dd seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2794,256)
  model=llama-3.3-70b N=4 arm=direct real_lme_02276_4388e9dd seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2794,114)
  model=llama-3.3-70b N=4 arm=direct real_lme_02276_4388e9dd seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2794,217)
  model=llama-3.3-70b N=4 arm=direct real_lme_02335_gpt4_7ddcf75f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2702,296)
  model=llama-3.3-70b N=4 arm=direct real_lme_02335_gpt4_7ddcf75f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2702,352)
  model=llama-3.3-70b N=4 arm=direct real_lme_02335_gpt4_7ddcf75f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2702,351)
  model=llama-3.3-70b N=4 arm=direct real_lme_02374_b6019101 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2686,283)
  model=llama-3.3-70b N=4 arm=direct real_lme_02374_b6019101 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2686,338)
  model=llama-3.3-70b N=4 arm=direct real_lme_02374_b6019101 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2686,288)
  model=llama-3.3-70b N=4 arm=direct real_lme_02431_bc149d6b seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2689,232)
  model=llama-3.3-70b N=4 arm=direct real_lme_02431_bc149d6b seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2689,229)
  model=llama-3.3-70b N=4 arm=direct real_lme_02431_bc149d6b seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2689,232)
  model=llama-3.3-70b N=4 arm=direct real_lme_02438_gpt4_e072b769 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2734,426)
  model=llama-3.3-70b N=4 arm=direct real_lme_02438_gpt4_e072b769 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2734,355)
  model=llama-3.3-70b N=4 arm=direct real_lme_02438_gpt4_e072b769 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2734,340)
  model=llama-3.3-70b N=4 arm=direct real_lme_02738_830ce83f seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2477,178)
  model=llama-3.3-70b N=4 arm=direct real_lme_02738_830ce83f seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2477,175)
  model=llama-3.3-70b N=4 arm=direct real_lme_02738_830ce83f seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2477,196)
  model=llama-3.3-70b N=4 arm=direct real_lme_02866_6e984302 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2553,293)
  model=llama-3.3-70b N=4 arm=direct real_lme_02866_6e984302 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2553,296)
  model=llama-3.3-70b N=4 arm=direct real_lme_02866_6e984302 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2553,300)
  model=llama-3.3-70b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2531,265)
  model=llama-3.3-70b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2531,289)
  model=llama-3.3-70b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2531,286)
  model=llama-3.3-70b N=4 arm=direct real_lme_02971_6071bd76 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2622,616)
  model=llama-3.3-70b N=4 arm=direct real_lme_02971_6071bd76 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2622,778)
  model=llama-3.3-70b N=4 arm=direct real_lme_02971_6071bd76 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2622,298)
  model=llama-3.3-70b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,142)
  model=llama-3.3-70b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,210)
  model=llama-3.3-70b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,210)
  model=llama-3.3-70b N=4 arm=direct real_lme_03038_7527f7e2 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2592,208)
  model=llama-3.3-70b N=4 arm=direct real_lme_03038_7527f7e2 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2592,205)
  model=llama-3.3-70b N=4 arm=direct real_lme_03038_7527f7e2 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2592,197)
  model=llama-3.3-70b N=4 arm=direct real_lme_03198_0bb5a684 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2565,174)
  model=llama-3.3-70b N=4 arm=direct real_lme_03198_0bb5a684 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2530,238)
  model=llama-3.3-70b N=4 arm=direct real_lme_03198_0bb5a684 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2530,238)
  model=llama-3.3-70b N=4 arm=direct real_lme_03261_60bf93ed seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2651,227)
  model=llama-3.3-70b N=4 arm=direct real_lme_03261_60bf93ed seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2651,280)
  model=llama-3.3-70b N=4 arm=direct real_lme_03261_60bf93ed seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2651,259)
  model=llama-3.3-70b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2790,261)
  model=llama-3.3-70b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2790,332)
  model=llama-3.3-70b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2790,334)
  model=llama-3.3-70b N=4 arm=direct real_lme_03429_cc5ded98 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2542,259)
  model=llama-3.3-70b N=4 arm=direct real_lme_03429_cc5ded98 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2542,212)
  model=llama-3.3-70b N=4 arm=direct real_lme_03429_cc5ded98 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2542,264)
  model=llama-3.3-70b N=4 arm=direct real_lme_03568_c4f10528 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2601,274)
  model=llama-3.3-70b N=4 arm=direct real_lme_03568_c4f10528 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2601,274)
  model=llama-3.3-70b N=4 arm=direct real_lme_03568_c4f10528 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2601,274)
  model=llama-3.3-70b N=4 arm=direct real_lme_03671_71017276 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2512,336)
  model=llama-3.3-70b N=4 arm=direct real_lme_03671_71017276 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2512,373)
  model=llama-3.3-70b N=4 arm=direct real_lme_03671_71017276 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2512,266)
  model=llama-3.3-70b N=4 arm=direct real_lme_03718_gpt4_76048e76 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2679,231)
