Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=mistral-nemo-12b provider=openrouter model_id=mistralai/mistral-nemo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=mistral-nemo-12b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2705,368)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2599,390)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2599,390)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02918_gpt4_d84a3211 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2599,414)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02971_6071bd76 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2689,390)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02971_6071bd76 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2689,390)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02971_6071bd76 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2689,370)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=0: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2838,426)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=1: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2838,426)
  model=mistral-nemo-12b N=4 arm=direct real_lme_02988_gpt4_8279ba03 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2838,327)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03038_7527f7e2 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2669,240)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03038_7527f7e2 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2669,240)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03038_7527f7e2 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2669,357)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03198_0bb5a684 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2605,486)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03198_0bb5a684 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2605,486)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03198_0bb5a684 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2605,328)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03261_60bf93ed seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2731,246)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03261_60bf93ed seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2731,246)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03261_60bf93ed seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2731,225)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2949,236)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2949,236)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03337_gpt4_1916e0ea seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2949,416)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03429_cc5ded98 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2607,322)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03429_cc5ded98 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2607,322)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03429_cc5ded98 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2607,375)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03568_c4f10528 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,306)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03568_c4f10528 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,306)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03568_c4f10528 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,167)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03671_71017276 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2606,263)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03671_71017276 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2606,263)
  model=mistral-nemo-12b N=4 arm=direct real_lme_03671_71017276 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2606,304)
