Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
  model=llama-3.3-70b N=2 arm=direct real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1931,279)
  model=llama-3.3-70b N=2 arm=direct real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1931,244)
  model=llama-3.3-70b N=2 arm=direct real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1931,388)
  model=llama-3.3-70b N=2 arm=direct real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2121,234)
  model=llama-3.3-70b N=2 arm=direct real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2121,165)
  model=llama-3.3-70b N=2 arm=direct real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2121,191)
  model=llama-3.3-70b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2262,399)
  model=llama-3.3-70b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2262,409)
  model=llama-3.3-70b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2262,339)
  model=llama-3.3-70b N=2 arm=direct real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,272)
  model=llama-3.3-70b N=2 arm=direct real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,263)
  model=llama-3.3-70b N=2 arm=direct real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,447)
  model=llama-3.3-70b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2123,243)
  model=llama-3.3-70b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2123,220)
  model=llama-3.3-70b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2123,189)
  model=llama-3.3-70b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2143,242)
  model=llama-3.3-70b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2143,242)
  model=llama-3.3-70b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2143,313)
  model=llama-3.3-70b N=2 arm=direct real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,315)
  model=llama-3.3-70b N=2 arm=direct real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,372)
  model=llama-3.3-70b N=2 arm=direct real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,330)
  model=llama-3.3-70b N=2 arm=direct real_lme_00038_b86304ba seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2078,195)
  model=llama-3.3-70b N=2 arm=direct real_lme_00038_b86304ba seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2078,203)
  model=llama-3.3-70b N=2 arm=direct real_lme_00038_b86304ba seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2078,192)
  model=llama-3.3-70b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2564,301)
  model=llama-3.3-70b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2564,295)
  model=llama-3.3-70b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2564,289)
  model=llama-3.3-70b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2136,540)
  model=llama-3.3-70b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2136,635)
  model=llama-3.3-70b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2136,369)
  model=llama-3.3-70b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,258)
  model=llama-3.3-70b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,313)
  model=llama-3.3-70b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,313)
  model=llama-3.3-70b N=2 arm=direct real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2222,258)
  model=llama-3.3-70b N=2 arm=direct real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2222,268)
  model=llama-3.3-70b N=2 arm=direct real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2222,557)
  model=llama-3.3-70b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2124,399)
  model=llama-3.3-70b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2124,704)
  model=llama-3.3-70b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2124,476)
  model=llama-3.3-70b N=2 arm=direct real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2161,378)
  model=llama-3.3-70b N=2 arm=direct real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2161,451)
  model=llama-3.3-70b N=2 arm=direct real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2161,494)
  model=llama-3.3-70b N=2 arm=direct real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2303,303)
  model=llama-3.3-70b N=2 arm=direct real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2303,358)
  model=llama-3.3-70b N=2 arm=direct real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2303,340)
  model=llama-3.3-70b N=2 arm=direct real_lme_00048_dccbc061 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1968,244)
  model=llama-3.3-70b N=2 arm=direct real_lme_00048_dccbc061 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1968,250)
  model=llama-3.3-70b N=2 arm=direct real_lme_00048_dccbc061 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1968,231)
  model=llama-3.3-70b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2425,440)
  model=llama-3.3-70b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2425,303)
  model=llama-3.3-70b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2425,294)
  model=llama-3.3-70b N=2 arm=direct real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2201,280)
  model=llama-3.3-70b N=2 arm=direct real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2201,372)
  model=llama-3.3-70b N=2 arm=direct real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2201,256)
  model=llama-3.3-70b N=2 arm=direct real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2159,659)
  model=llama-3.3-70b N=2 arm=direct real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2159,623)
  model=llama-3.3-70b N=2 arm=direct real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2159,374)
  model=llama-3.3-70b N=2 arm=direct real_lme_00052_1faac195 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2181,745)
  model=llama-3.3-70b N=2 arm=direct real_lme_00052_1faac195 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2181,762)
  model=llama-3.3-70b N=2 arm=direct real_lme_00052_1faac195 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2181,575)
  model=llama-3.3-70b N=2 arm=direct real_lme_00053_21d02d0d seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2283,267)
  model=llama-3.3-70b N=2 arm=direct real_lme_00053_21d02d0d seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2283,245)
  model=llama-3.3-70b N=2 arm=direct real_lme_00053_21d02d0d seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2283,296)
  model=llama-3.3-70b N=2 arm=direct real_lme_00054_603deb26 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2340,296)
  model=llama-3.3-70b N=2 arm=direct real_lme_00054_603deb26 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2340,326)
  model=llama-3.3-70b N=2 arm=direct real_lme_00054_603deb26 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2340,301)
  model=llama-3.3-70b N=2 arm=direct real_lme_00055_7e974930 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2207,207)
  model=llama-3.3-70b N=2 arm=direct real_lme_00055_7e974930 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2207,204)
  model=llama-3.3-70b N=2 arm=direct real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2207,272)
  model=llama-3.3-70b N=2 arm=direct real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2266,315)
  model=llama-3.3-70b N=2 arm=direct real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2266,286)
  model=llama-3.3-70b N=2 arm=direct real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2266,519)
  model=llama-3.3-70b N=2 arm=direct real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2046,287)
  model=llama-3.3-70b N=2 arm=direct real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2046,279)
  model=llama-3.3-70b N=2 arm=direct real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2046,265)
  model=llama-3.3-70b N=2 arm=direct real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2164,526)
  model=llama-3.3-70b N=2 arm=direct real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2164,613)
  model=llama-3.3-70b N=2 arm=direct real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2164,324)
  model=llama-3.3-70b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2413,317)
  model=llama-3.3-70b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2413,321)
  model=llama-3.3-70b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2413,316)
  model=llama-3.3-70b N=2 arm=direct real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2026,403)
