Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=mistral-nemo-12b provider=openrouter model_id=mistralai/mistral-nemo)...
  model=mistral-nemo-12b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,242)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,242)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,357)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2626,276)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2626,276)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2626,278)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2204,1120)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2204,1120)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2204,397)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2329,360)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2329,360)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2329,261)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2414,308)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2414,308)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2414,362)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,301)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,301)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,343)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,386)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,386)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,423)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,285)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,285)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,344)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,209)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,209)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,307)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2198,506)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2198,506)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2198,254)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,281)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,281)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00027_21d02d0d seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2342,439)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2271,342)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2271,342)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2271,516)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00029_a11281a2 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2300,379)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2300,379)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00029_a11281a2 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2300,275)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1948,337)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1948,337)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1947,343)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2000,332)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2000,332)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2000,409)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2161,318)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2161,318)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2161,338)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2308,401)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2308,401)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2308,296)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2191,322)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2191,322)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2191,268)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2213,288)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2213,288)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2213,292)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2208,276)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2208,276)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2208,307)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2248,312)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2248,312)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2248,191)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00038_b86304ba seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2125,335)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00038_b86304ba seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2125,335)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00038_b86304ba seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2125,249)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2579,617)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2579,617)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2579,444)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2205,386)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2205,386)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2205,337)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2303,324)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2303,324)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2303,358)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2261,326)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2261,326)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2261,108)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2204,149)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2204,149)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2204,442)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2216,273)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2216,273)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2216,263)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2360,273)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2360,273)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2360,345)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00048_dccbc061 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2068,401)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00048_dccbc061 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2068,401)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00048_dccbc061 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2068,312)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2454,271)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2454,271)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2454,278)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2221,231)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2221,231)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2221,182)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2210,444)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2210,444)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2210,454)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00052_1faac195 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2234,88)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00052_1faac195 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2234,88)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00052_1faac195 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2234,144)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00053_21d02d0d seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2340,352)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00053_21d02d0d seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2340,352)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00053_21d02d0d seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2340,301)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00054_603deb26 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2413,463)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00054_603deb26 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2413,463)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00054_603deb26 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2413,497)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00055_7e974930 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2327,303)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00055_7e974930 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2327,303)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2327,320)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2387,238)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2387,238)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2387,241)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2102,210)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2102,210)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2102,205)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2220,651)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2220,651)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2220,587)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2477,245)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2477,245)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2477,237)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2089,299)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00066_8e91e7d9 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2089,299)
