Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.1-8b provider=openrouter model_id=meta-llama/llama-3.1-8b-instruct)...
  model=llama-3.1-8b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,345)
  model=llama-3.1-8b N=2 arm=direct real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2519,583)
  model=llama-3.1-8b N=2 arm=direct real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2519,583)
  model=llama-3.1-8b N=2 arm=direct real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2499,318)
  model=llama-3.1-8b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2120,587)
  model=llama-3.1-8b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2120,587)
  model=llama-3.1-8b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2156,95)
  model=llama-3.1-8b N=2 arm=direct real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=direct real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=direct real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2353,89)
  model=llama-3.1-8b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2353,89)
  model=llama-3.1-8b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,83)
  model=llama-3.1-8b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2310,391)
  model=llama-3.1-8b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2310,391)
  model=llama-3.1-8b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2290,291)
  model=llama-3.1-8b N=2 arm=direct real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2335,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2335,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2370,249)
  model=llama-3.1-8b N=2 arm=direct real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2026,83)
  model=llama-3.1-8b N=2 arm=direct real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2026,83)
  model=llama-3.1-8b N=2 arm=direct real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2062,159)
  model=llama-3.1-8b N=2 arm=direct real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,105)
  model=llama-3.1-8b N=2 arm=direct real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,105)
  model=llama-3.1-8b N=2 arm=direct real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,84)
  model=llama-3.1-8b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2140,333)
  model=llama-3.1-8b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2140,333)
  model=llama-3.1-8b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,113)
  model=llama-3.1-8b N=2 arm=direct real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2254,323)
  model=llama-3.1-8b N=2 arm=direct real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2254,323)
  model=llama-3.1-8b N=2 arm=direct real_lme_00027_21d02d0d seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2254,805)
  model=llama-3.1-8b N=2 arm=direct real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=direct real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=direct real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=direct real_lme_00029_a11281a2 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2234,98)
  model=llama-3.1-8b N=2 arm=direct real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2234,98)
  model=llama-3.1-8b N=2 arm=direct real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2218,88)
  model=llama-3.1-8b N=2 arm=direct real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1893,288)
  model=llama-3.1-8b N=2 arm=direct real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1893,288)
  model=llama-3.1-8b N=2 arm=direct real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1929,265)
  model=llama-3.1-8b N=2 arm=direct real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,384)
  model=llama-3.1-8b N=2 arm=direct real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,384)
  model=llama-3.1-8b N=2 arm=direct real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,354)
  model=llama-3.1-8b N=2 arm=direct real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,279)
  model=llama-3.1-8b N=2 arm=direct real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,279)
  model=llama-3.1-8b N=2 arm=direct real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,252)
  model=llama-3.1-8b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2262,505)
  model=llama-3.1-8b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2262,505)
  model=llama-3.1-8b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2262,282)
  model=llama-3.1-8b N=2 arm=direct real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,75)
  model=llama-3.1-8b N=2 arm=direct real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,75)
  model=llama-3.1-8b N=2 arm=direct real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2129,156)
  model=llama-3.1-8b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2103,334)
  model=llama-3.1-8b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2103,334)
  model=llama-3.1-8b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2123,420)
  model=llama-3.1-8b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2123,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2123,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2143,387)
  model=llama-3.1-8b N=2 arm=direct real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,245)
  model=llama-3.1-8b N=2 arm=direct real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,245)
  model=llama-3.1-8b N=2 arm=direct real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2138,367)
  model=llama-3.1-8b N=2 arm=direct real_lme_00038_b86304ba seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,320)
  model=llama-3.1-8b N=2 arm=direct real_lme_00038_b86304ba seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,320)
  model=llama-3.1-8b N=2 arm=direct real_lme_00038_b86304ba seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,206)
  model=llama-3.1-8b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2564,431)
  model=llama-3.1-8b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2564,431)
  model=llama-3.1-8b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2544,370)
  model=llama-3.1-8b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2136,363)
  model=llama-3.1-8b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2136,363)
  model=llama-3.1-8b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2116,323)
  model=llama-3.1-8b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,772)
  model=llama-3.1-8b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,772)
  model=llama-3.1-8b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2230,427)
  model=llama-3.1-8b N=2 arm=direct real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2238,355)
  model=llama-3.1-8b N=2 arm=direct real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2238,355)
  model=llama-3.1-8b N=2 arm=direct real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2222,486)
  model=llama-3.1-8b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2124,81)
  model=llama-3.1-8b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2124,81)
  model=llama-3.1-8b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2104,81)
  model=llama-3.1-8b N=2 arm=direct real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2161,348)
  model=llama-3.1-8b N=2 arm=direct real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2161,348)
  model=llama-3.1-8b N=2 arm=direct real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2141,187)
  model=llama-3.1-8b N=2 arm=direct real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2319,193)
  model=llama-3.1-8b N=2 arm=direct real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2319,193)
  model=llama-3.1-8b N=2 arm=direct real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2319,193)
  model=llama-3.1-8b N=2 arm=direct real_lme_00048_dccbc061 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(1984,316)
  model=llama-3.1-8b N=2 arm=direct real_lme_00048_dccbc061 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(1984,316)
  model=llama-3.1-8b N=2 arm=direct real_lme_00048_dccbc061 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1968,337)
  model=llama-3.1-8b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2425,75)
  model=llama-3.1-8b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2425,75)
  model=llama-3.1-8b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2405,356)
  model=llama-3.1-8b N=2 arm=direct real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2181,204)
  model=llama-3.1-8b N=2 arm=direct real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2181,204)
  model=llama-3.1-8b N=2 arm=direct real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2201,246)
  model=llama-3.1-8b N=2 arm=direct real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2159,546)
  model=llama-3.1-8b N=2 arm=direct real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2159,546)
  model=llama-3.1-8b N=2 arm=direct real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2139,170)
  model=llama-3.1-8b N=2 arm=direct real_lme_00052_1faac195 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2161,214)
  model=llama-3.1-8b N=2 arm=direct real_lme_00052_1faac195 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2161,214)
  model=llama-3.1-8b N=2 arm=direct real_lme_00052_1faac195 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2181,67)
  model=llama-3.1-8b N=2 arm=direct real_lme_00053_21d02d0d seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2263,259)
  model=llama-3.1-8b N=2 arm=direct real_lme_00053_21d02d0d seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2263,259)
  model=llama-3.1-8b N=2 arm=direct real_lme_00053_21d02d0d seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2263,259)
  model=llama-3.1-8b N=2 arm=direct real_lme_00054_603deb26 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2320,351)
  model=llama-3.1-8b N=2 arm=direct real_lme_00054_603deb26 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2320,351)
  model=llama-3.1-8b N=2 arm=direct real_lme_00054_603deb26 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2320,298)
  model=llama-3.1-8b N=2 arm=direct real_lme_00055_7e974930 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2207,1199)
  model=llama-3.1-8b N=2 arm=direct real_lme_00055_7e974930 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2207,1199)
  model=llama-3.1-8b N=2 arm=direct real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2187,1048)
  model=llama-3.1-8b N=2 arm=direct real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2246,283)
  model=llama-3.1-8b N=2 arm=direct real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2246,283)
  model=llama-3.1-8b N=2 arm=direct real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2266,104)
  model=llama-3.1-8b N=2 arm=direct real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2046,120)
  model=llama-3.1-8b N=2 arm=direct real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2046,120)
  model=llama-3.1-8b N=2 arm=direct real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2026,266)
  model=llama-3.1-8b N=2 arm=direct real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2144,352)
  model=llama-3.1-8b N=2 arm=direct real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2144,352)
  model=llama-3.1-8b N=2 arm=direct real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2144,352)
  model=llama-3.1-8b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2413,181)
  model=llama-3.1-8b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2413,181)
  model=llama-3.1-8b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2413,126)
  model=llama-3.1-8b N=2 arm=direct real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2006,222)
