Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=qwen-2.5-7b provider=openrouter model_id=qwen/qwen-2.5-7b-instruct)...
  model=qwen-2.5-7b N=2 arm=direct real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2564,290)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2564,321)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2175,330)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2175,330)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2175,364)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,266)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,266)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,297)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,258)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,258)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,259)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,136)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,136)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,182)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2372,158)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2372,158)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2372,168)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,239)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,239)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,238)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,289)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,289)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,299)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,150)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,150)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,176)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,88)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,88)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00027_21d02d0d seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,157)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2226,176)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2226,176)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2226,226)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00029_a11281a2 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,262)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,262)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,283)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,233)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,233)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,232)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2124,185)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2124,185)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2124,196)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2283,219)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2283,219)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2283,175)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,176)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,176)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,178)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,188)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,188)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,315)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2156,137)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2156,137)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2156,169)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,262)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,262)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,207)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00038_b86304ba seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2089,228)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00038_b86304ba seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2089,228)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00038_b86304ba seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(2089,263)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2576,440)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2576,440)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2576,464)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,413)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,413)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,291)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,195)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,195)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,158)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,130)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,130)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,119)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,269)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,269)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,275)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2167,283)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2167,283)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,227)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2310,103)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2310,103)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2310,219)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00048_dccbc061 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1981,78)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00048_dccbc061 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1981,78)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00048_dccbc061 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1981,195)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2434,208)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2434,208)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2434,152)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2214,168)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2214,168)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2214,155)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2190,273)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2190,273)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2190,261)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00052_1faac195 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2187,128)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00052_1faac195 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2187,128)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00052_1faac195 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2187,190)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00053_21d02d0d seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2297,169)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00053_21d02d0d seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2297,169)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00053_21d02d0d seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2297,158)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00054_603deb26 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2353,356)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00054_603deb26 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2353,356)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00054_603deb26 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2353,339)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00055_7e974930 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2288,255)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00055_7e974930 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2288,255)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2288,320)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2279,283)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2279,283)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2279,277)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2054,202)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2054,202)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2054,218)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2194,258)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2194,258)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2194,285)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2419,338)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2419,338)
