model,task_id,seed,profile_and_question,expected_gold,agent_final_output,repair_status,fault_node_predicted,top_posterior,posterior_concentration,_category_assigned_by_user,_user_notes
Mistral Nemo 12B,pfqa_recon_00095,0,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a student; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,Mediterranean Stuffed Bell Peppers,repair_failed,a4,0.548,0.274,,
Mistral Nemo 12B,pfqa_recon_00084,1,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Portuguese; User works as a student; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: What is the chemical symbol for gold?",,الخلية هي الوحدة الأساسية للحياة. وهي تتألف من العديد من الجزيئات المختلفة، بما في ذلك البروتينات، والليبيدات، والنيوكليوتيدات، والفيتامينات، والمعادن. وتتميز الخلية عن طريق وجودها في جميع الكائنات الحية، سواء كانت نباتية أو حيوانية أو فطرية أو بكتيرية. وتعد الميتوكوندريا في الخلية هي المورد الرئيسي,repair_failed,a4,1.0,1.0,,
Mistral Nemo 12B,pfqa_recon_00080,2,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Mandarin; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in London, United Kingdom | Q: What is the chemical symbol for sodium?",,El poderhouse de la célula es la mitocondria.,repair_failed,a4,0.556,0.389,,
Qwen 2.5 7B,pfqa_recon_00085,0,"profile_required | profile: User is vegetarian; User prefers responses in Arabic; User works as a artist; User's fitness level is low; User's age range is 36-50; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,تم تحديد أن الاستجابة يجب أن تكون باللغة العربية حسب تفضيلات المستخدم.,repair_failed,a1,0.93,0.86,,
Qwen 2.5 7B,pfqa_recon_00088,0,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,Paris,repair_failed,a1,0.964,0.928,,
Qwen 2.5 7B,pfqa_recon_00091,0,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,High-intensity interval training (HIIT) would be suitable for the user's fitness level.,repair_failed,a1,1.0,1.0,,
Qwen 2.5 7B,pfqa_recon_00083,1,"profile_required | profile: User is omnivore; User prefers responses in Portuguese; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Tokyo, Japan | Q: Suggest a workout suitable for the user's fitness level.",,ننصحك بطبق من الماكرela المشوية كوجبة ظهر اليوم، حيث أنها تناسب نظامك الغذائي كمتسامح بحشائش.,repair_failed,a3,0.466,0.078,,
Qwen 2.5 7B,pfqa_recon_00085,1,"profile_required | profile: User is vegetarian; User prefers responses in Arabic; User works as a artist; User's fitness level is low; User's age range is 36-50; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,في اللغة العربية,repair_failed,a0,1.0,1.0,,
Qwen 2.5 7B,pfqa_recon_00088,1,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,澳大利亚的首都是堪培拉。,repair_failed,a2,0.571,0.229,,
Qwen 2.5 7B,pfqa_recon_00091,1,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,"Recomendo curry de lentilhas para o almoço do usuário, pois é uma opção vegana e adequada para seu nível de fitness médio.",repair_failed,a2,0.842,0.716,,
Qwen 2.5 7B,pfqa_recon_00097,1,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,"Comme l'utilisateur est artiste, je vais écrire la réponse en tenant compte de ses préférences en français.",repair_failed,a1,0.87,0.739,,
Qwen 2.5 7B,pfqa_recon_00099,1,"profile_required | profile: User is omnivore; User prefers responses in Mandarin; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,"Recomendo grilado de salmão para o almoço do usuário hoje, pois é uma opção pescetária e pode ser preparado de maneira saudável.",repair_failed,a2,1.0,1.0,,
Qwen 2.5 7B,pfqa_recon_00081,2,"profile_required | profile: User is omnivore; User prefers responses in French; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in Mumbai, India | Q: Recommend a single dish for the user's lunch today.",,"Une lentille curry serait idéale pour le déjeuner d'un utilisateur en bonne forme physique, qui vit actuellement à Paris, et qui est végétarien.",repair_failed,a3,1.0,1.0,,
Qwen 2.5 7B,pfqa_recon_00082,2,"factual_irrelevant | profile: User is vegetarian; User prefers responses in Portuguese; User works as a software engineer; User's fitness level is high; User's age range is 36-50; User is currently in Tokyo, Japan | Q: Who wrote 'Pride and Prejudice'?",,العاصمة اليابانية هي طوكيو.,repair_failed,a5,0.465,0.279,,
Qwen 2.5 7B,pfqa_recon_00088,2,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,यूजर एक पेस्कटरियन है और शारीरिक स्वास्थ्य से संबंधित मसलों में मांस का उपभोग नहीं करता है।,repair_failed,a3,0.364,,,
Qwen 2.5 7B,pfqa_recon_00091,2,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,Recomendamos um frango ao molho de pebre para o almoço do usuário hoje.,repair_failed,a3,1.0,1.0,,
Qwen 2.5 7B,pfqa_recon_00097,2,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,أنا أكتب الردود باللغة العربية لتناسب ارتياح المستخدم.,repair_failed,a1,0.93,0.86,,
Qwen 2.5 7B,pfqa_recon_00099,2,"profile_required | profile: User is omnivore; User prefers responses in Mandarin; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,"Based on the user's profile and task, I suggest a high intensity interval training (HIIT) workout for this user.",repair_failed,a3,0.698,0.465,,
Gemini 2.5 Flash,pfqa_recon_00083,0,"profile_required | profile: User is omnivore; User prefers responses in Portuguese; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Tokyo, Japan | Q: Suggest a workout suitable for the user's fitness level.",,Um treino adequado para o seu nível de fitness médio seria um jogging moderado.,repair_failed,a1,0.44,0.176,,
Gemini 2.5 Flash,pfqa_recon_00086,0,"factual_irrelevant | profile: User is vegan; User prefers responses in Hindi; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in New York, United States | Q: What is the longest river in the world?",,नील नदी को व्यापक रूप से दुनिया की सबसे लंबी नदी माना जाता है।,repair_failed,a3,0.317,,,
Gemini 2.5 Flash,pfqa_recon_00088,0,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,La capital de Francia es París.,repair_failed,a3,0.8,0.6,,
Gemini 2.5 Flash,pfqa_recon_00091,0,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,उच्च-तीव्रता अंतराल प्रशिक्षण (HIIT) आपके उच्च फिटनेस स्तर के लिए उपयुक्त होगा।,repair_failed,a3,0.8,0.6,,
Gemini 2.5 Flash,pfqa_recon_00095,0,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a student; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,推荐一道适合素食者的午餐菜肴是蔬菜烩饭。,repair_failed,a3,0.606,0.303,,
Gemini 2.5 Flash,pfqa_recon_00097,0,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,一份蔬菜千层面 (A vegetable lasagna),repair_failed,a4,0.571,0.229,,
Gemini 2.5 Flash,pfqa_recon_00098,0,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Hindi; User works as a lawyer; User's fitness level is low; User's age range is 36-50; User is currently in Mumbai, India | Q: What is the capital of Japan?",,जापान की राजधानी टोक्यो है।,repair_failed,a4,0.22,,,
Gemini 2.5 Flash,pfqa_recon_00083,1,"profile_required | profile: User is omnivore; User prefers responses in Portuguese; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in Tokyo, Japan | Q: Suggest a workout suitable for the user's fitness level.",,أوصي بسمك السلمون المشوي لوجبة غدائك اليوم.,repair_failed,a4,0.317,,,
Gemini 2.5 Flash,pfqa_recon_00084,1,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Portuguese; User works as a student; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: What is the chemical symbol for gold?",,الميتوكوندريا,repair_failed,a3,0.426,0.17,,
Gemini 2.5 Flash,pfqa_recon_00087,1,"profile_required | profile: User is vegetarian; User prefers responses in Arabic; User works as a teacher; User's fitness level is high; User's age range is 18-25; User is currently in London, United Kingdom | Q: What city is the user currently in?",,Je vous recommande un risotto aux légumes pour votre déjeuner.,repair_failed,a6,0.364,0.145,,
Gemini 2.5 Flash,pfqa_recon_00088,1,"factual_irrelevant | profile: User is omnivore; User prefers responses in Spanish; User works as a doctor; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: What is the capital of France?",,堪培拉,repair_failed,a5,0.241,,,
Gemini 2.5 Flash,pfqa_recon_00091,1,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,Eu recomendo um caril de lentilhas para o almoço.,repair_failed,a4,0.421,,,
Gemini 2.5 Flash,pfqa_recon_00092,1,"factual_irrelevant | profile: User is omnivore; User prefers responses in Hindi; User works as a artist; User's fitness level is high; User's age range is 65+; User is currently in Paris, France | Q: In what year did World War II end?",,مدينة الفاتيكان,repair_failed,a4,0.392,,,
Gemini 2.5 Flash,pfqa_recon_00095,1,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a student; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,鸡肉炒饭 (Jīròu chǎofàn),repair_failed,a3,0.597,0.239,,
Gemini 2.5 Flash,pfqa_recon_00099,1,"profile_required | profile: User is omnivore; User prefers responses in Mandarin; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,Salmão grelhado.,repair_failed,a4,0.465,,,
Gemini 2.5 Flash,pfqa_recon_00081,2,"profile_required | profile: User is omnivore; User prefers responses in French; User works as a artist; User's fitness level is high; User's age range is 51-65; User is currently in Mumbai, India | Q: Recommend a single dish for the user's lunch today.",,Je vous recommande un curry de lentilles.,repair_failed,a4,0.345,,,
Gemini 2.5 Flash,pfqa_recon_00084,2,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Portuguese; User works as a student; User's fitness level is medium; User's age range is 18-25; User is currently in Paris, France | Q: What is the chemical symbol for gold?",,ويليام شكسبير,repair_failed,a4,0.296,,,
Gemini 2.5 Flash,pfqa_recon_00086,2,"factual_irrelevant | profile: User is vegan; User prefers responses in Hindi; User works as a lawyer; User's fitness level is medium; User's age range is 18-25; User is currently in New York, United States | Q: What is the longest river in the world?",,वेटिकन सिटी,repair_failed,a3,1.0,1.0,,
Gemini 2.5 Flash,pfqa_recon_00090,2,"factual_irrelevant | profile: User is vegetarian; User prefers responses in Arabic; User works as a student; User's fitness level is medium; User's age range is 65+; User is currently in Paris, France | Q: In what year did humans first land on the Moon?",,वेटिकन सिटी,repair_failed,a4,0.435,,,
Gemini 2.5 Flash,pfqa_recon_00091,2,"profile_required | profile: User is vegan; User prefers responses in Hindi; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Mumbai, India | Q: Suggest a workout suitable for the user's fitness level.",,Frango salteado,repair_failed,a4,0.304,0.051,,
Gemini 2.5 Flash,pfqa_recon_00093,2,"profile_required | profile: User is omnivore; User prefers responses in Hindi; User works as a nurse; User's fitness level is medium; User's age range is 18-25; User is currently in New York, United States | Q: What city is the user currently in?",,نزهة معتدلة,repair_failed,a4,0.364,,,
Gemini 2.5 Flash,pfqa_recon_00095,2,"profile_required | profile: User is vegetarian; User prefers responses in Mandarin; User works as a student; User's fitness level is low; User's age range is 18-25; User is currently in Paris, France | Q: Recommend a single dish for the user's lunch today.",,Una sugerencia de ejercicio suave para usted podría ser yoga o caminar.,repair_failed,a5,0.476,0.19,,
Gemini 2.5 Flash,pfqa_recon_00098,2,"factual_irrelevant | profile: User is pescatarian; User prefers responses in Hindi; User works as a lawyer; User's fitness level is low; User's age range is 36-50; User is currently in Mumbai, India | Q: What is the capital of Japan?",,日本的首都是东京 (Dōngjīng)。,repair_failed,a5,0.267,,,
Gemini 2.5 Flash,pfqa_recon_00099,2,"profile_required | profile: User is omnivore; User prefers responses in Mandarin; User works as a teacher; User's fitness level is high; User's age range is 26-35; User is currently in Tokyo, Japan | Q: In which language should I write the response so it suits the user?",,High-intensity interval training (HIIT) would be suitable for your high fitness level.,repair_failed,a1,0.889,0.778,,
