Building 60 4-fault-injected twowiki_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter', 'intro_specter_fixed']
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,377)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5294,1057)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14407,1764)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5251,730)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5251,730)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2589,629)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6124,842)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6124,842)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2589,629)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6124,842)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6124,842)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2589,627)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6164,1531)
  N=4 real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6164,1531)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15482,1929)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,881)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,881)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15482,1929)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,881)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,881)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15620,1916)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5615,823)
  N=4 real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5615,823)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(14531,1488)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5399,988)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5399,988)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(14531,1488)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5399,988)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5399,988)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15807,1982)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5798,1378)
  N=4 real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5798,1378)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16110,2717)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5534,1416)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5534,1416)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16110,2717)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5534,1416)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5534,1416)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2280,515)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5412,1293)
  N=4 real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5412,1293)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2537,403)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5732,955)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5732,955)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2537,403)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5732,955)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5732,955)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2538,717)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6195,1393)
  N=4 real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6195,1393)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2283,437)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5279,924)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5279,924)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2283,437)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5279,924)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5279,924)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(13949,1451)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5175,742)
  N=4 real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5175,742)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2224,516)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5262,1216)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5262,1216)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2224,516)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5262,1216)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5262,1216)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2224,426)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,954)
  N=4 real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,954)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2458,596)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5849,1327)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5849,1327)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2458,596)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5849,1327)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5849,1327)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2458,561)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5772,1275)
  N=4 real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5772,1275)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,504)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5980,1251)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5980,1251)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,504)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5980,1251)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5980,1251)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2590,432)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5887,1058)
  N=4 real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5887,1058)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13880,7432)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5538,795)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5538,795)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13880,7432)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5538,795)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5538,795)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13802,4404)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5529,852)
  N=4 real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5529,852)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,382)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5488,1155)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5488,1155)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,382)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5488,1155)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5488,1155)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2414,528)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5715,1220)
  N=4 real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5715,1220)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,314)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5138,770)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5138,770)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,314)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5138,770)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5138,770)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2295,309)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5132,951)
  N=4 real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5132,951)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,449)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,1119)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,1119)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,449)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,1119)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5638,1119)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2435,505)
  N=4 real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5694,939)
