Building 40 5-fault (4 hop-context + 1 profile) twowiki_real bridge_comparison examples (bench_seed=42, scan_limit=2671)...
Built 40 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter']
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4352,788)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1604,492)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4042,1018)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1604,492)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4042,1018)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1604,370)
  N=5 real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3857,770)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1794,538)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4464,1161)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1794,538)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4464,1161)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1794,368)
  N=5 real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4231,768)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1776,315)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4104,641)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1776,315)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4104,641)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1776,213)
  N=5 real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4030,538)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1734,527)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4295,858)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1734,527)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4295,858)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1734,408)
  N=5 real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4155,763)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2040,254)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4569,574)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2040,254)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4569,574)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(6646,682)
  N=5 real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=1/5 tokens=(4490,518)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2172,282)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4861,628)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2172,282)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4861,628)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2172,282)
  N=5 real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4861,628)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1719,433)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4149,829)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1719,433)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4149,829)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1719,404)
  N=5 real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4129,862)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1885,472)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4521,1366)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1885,472)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4521,1366)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1885,427)
  N=5 real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4476,759)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1696,350)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4021,567)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1696,350)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4021,567)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1696,360)
  N=5 real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4031,576)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1566,458)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3888,1018)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1566,458)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3888,1018)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1566,490)
  N=5 real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3899,1214)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(12839,1684)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4666,888)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(12839,1684)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4666,888)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1993,500)
  N=5 real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4806,907)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,306)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3953,619)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,306)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3953,619)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1695,419)
  N=5 real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4087,741)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1836,372)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4321,764)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1836,372)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4321,764)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1837,550)
  N=5 real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(4564,1279)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2164,373)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4978,1049)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2164,373)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4978,1049)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(2163,255)
  N=5 real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4900,576)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1677,329)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3961,540)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1677,329)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3961,540)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1677,280)
  N=5 real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3892,613)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,250)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4581,556)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,250)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4581,556)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(2044,241)
  N=5 real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4565,554)
