Building 60 4-fault (3 hop + 1 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(1776,586)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(3605,863)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(10353,497)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(1776,337)
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(4173,868)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1886,190)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4035,552)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(3772,480)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3825,1296)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(13009,569)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1886,190)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4189,491)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1886,190)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4035,552)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3772,807)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3825,1296)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(12989,545)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1886,190)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4189,491)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(1886,566)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4608,1565)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3772,964)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(3825,1348)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(11169,897)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(1886,566)
  N=4 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4762,1622)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(2178,309)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4795,865)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4356,544)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4409,1045)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(12821,580)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(2178,309)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4949,828)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(2178,309)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4795,865)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4356,640)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4409,1045)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(12869,612)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(2178,309)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(4949,828)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(2178,303)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4789,902)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4356,564)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4409,961)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(14904,551)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(2178,303)
  N=4 real_musique_hop_00003_3hop1__105126_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4943,835)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1822,228)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(3947,659)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3644,452)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3697,885)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(10548,331)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1822,228)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4101,619)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1822,228)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(3947,659)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3644,646)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3697,885)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(10548,329)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1822,228)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4101,619)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1822,360)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4121,918)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3644,699)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3697,1062)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10548,463)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1822,360)
  N=4 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4275,778)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(1983,405)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4529,785)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(3966,706)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4019,1116)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(11514,508)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(1983,405)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4683,940)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(1983,405)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4529,785)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(3966,788)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4019,1116)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(11514,506)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(1983,405)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4683,940)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1983,286)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4382,795)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(3966,513)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True} all_resolved=True n_resolved=4/4 tokens=(4019,1099)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(11539,417)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(1983,286)
  N=4 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=3/4 tokens=(4536,850)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1868,313)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4179,817)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3736,692)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3789,1027)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10954,563)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1868,313)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4333,709)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1868,313)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4179,817)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3736,647)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3789,1027)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10948,555)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1868,313)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4333,709)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(1868,424)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(4277,1040)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3736,748)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3789,1013)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(10886,586)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(1868,424)
  N=4 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(4431,1149)
  N=4 real_musique_hop_00008_3hop1__103662_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True} all_resolved=False n_resolved=2/4 tokens=(2127,205)
