Building 60 5-fault (3 hop + 2 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.1-8b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1679,692)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1679,692)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4454,1106)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1659,469)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3931,1265)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3318,891)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3371,1585)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9857,733)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1659,469)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/5 tokens=(4085,1188)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1842,351)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4117,976)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3704,845)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3773,1402)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(12782,756)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1842,351)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4291,870)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1842,351)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4117,976)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3684,956)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3773,1402)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(10915,622)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1842,351)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4291,870)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1862,714)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4667,1817)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3724,1870)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3777,1735)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(10946,1001)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1862,714)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4801,2017)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1774,129)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': False} all_resolved=False n_resolved=1/5 tokens=(3675,410)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(3564,1100)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3581,856)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(10421,415)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1774,129)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3845,366)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1774,129)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': False} all_resolved=False n_resolved=1/5 tokens=(3675,410)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3528,383)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3581,856)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(10371,326)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1774,129)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3845,366)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1754,345)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3935,852)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3528,505)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(3561,1072)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(10238,504)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(1754,345)
  N=5 real_musique_hop_00004_3hop1__103881_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/5 tokens=(4089,864)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(1895,314)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(4206,855)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(3790,582)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(3863,1534)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(11013,427)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(1895,314)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(4340,914)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(1895,314)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(4206,855)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3810,1226)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(3863,1534)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(11360,749)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(1895,314)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(4340,914)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1915,810)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4847,2150)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(3810,1134)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=2/5 tokens=(3863,1438)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(11272,1177)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1915,810)
  N=5 real_musique_hop_00005_3hop1__106094_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4981,2010)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1794,274)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3964,869)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3589,714)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3641,740)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(12086,595)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1794,274)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4099,687)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1794,274)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3964,869)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3553,637)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3641,740)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(10398,501)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1794,274)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4099,687)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1759,294)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3914,944)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3538,1017)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3606,760)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(12171,651)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(6127,952)
  N=5 real_musique_hop_00007_3hop1__144678_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4068,697)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1829,129)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(3765,303)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(3658,617)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3726,540)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(12415,374)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1829,129)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3919,454)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1829,129)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(3765,303)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(3658,642)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3726,540)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(10692,357)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1829,129)
  N=5 real_musique_hop_00009_3hop1__144439_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'bullets': True, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3919,454)
